"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"5-9 years"	"5-9"	9	19620851	0.0 (Unreliable)
	"2003"	"2003"	"10-14 years"	"10-14"	32	21415353	0.1
	"2003"	"2003"	"15-19 years"	"15-19"	646	20797166	3.1
	"2003"	"2003"	"20-24 years"	"20-24"	1845	20591688	9.0
	"2003"	"2003"	"25-34 years"	"25-34"	4488	39243795	11.4
	"2003"	"2003"	"35-44 years"	"35-44"	8358	44154206	18.9
	"2003"	"2003"	"45-54 years"	"45-54"	7326	40819954	17.9
	"2003"	"2003"	"55-64 years"	"55-64"	1944	28008945	6.9
	"2003"	"2003"	"65-74 years"	"65-74"	535	18500915	2.9
	"2003"	"2003"	"75-84 years"	"75-84"	354	12896438	2.7
	"2003"	"2003"	"85+ years"	"85+"	183	4466176	4.1
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			25789	290107933	8.9
	"2004"	"2004"	"< 1 year"	"1"	30	4014258	0.7
	"2004"	"2004"	"1-4 years"	"1-4"	24	15771627	0.2
	"2004"	"2004"	"5-9 years"	"5-9"	12	19454237	0.1 (Unreliable)
	"2004"	"2004"	"10-14 years"	"10-14"	51	21411680	0.2
	"2004"	"2004"	"15-19 years"	"15-19"	772	21102552	3.7
	"2004"	"2004"	"20-24 years"	"20-24"	1979	20845560	9.5
	"2004"	"2004"	"25-34 years"	"25-34"	4680	39266556	11.9
	"2004"	"2004"	"35-44 years"	"35-44"	8439	43800275	19.3
	"2004"	"2004"	"45-54 years"	"45-54"	8040	41629930	19.3
	"2004"	"2004"	"55-64 years"	"55-64"	2283	29305304	7.8
	"2004"	"2004"	"65-74 years"	"65-74"	550	18667533	2.9
	"2004"	"2004"	"75-84 years"	"75-84"	374	12989903	2.9
	"2004"	"2004"	"85+ years"	"85+"	184	4545883	4.0
	"2004"	"2004"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			27428	292805298	9.4
	"2005"	"2005"	"< 1 year"	"1"	35	4004393	0.9
	"2005"	"2005"	"1-4 years"	"1-4"	30	15913007	0.2
	"2005"	"2005"	"5-9 years"	"5-9"	13	19389067	0.1 (Unreliable)
	"2005"	"2005"	"10-14 years"	"10-14"	34	21212579	0.2
	"2005"	"2005"	"15-19 years"	"15-19"	749	21486214	3.5
	"2005"	"2005"	"20-24 years"	"20-24"	2170	20959955	10.4
	"2005"	"2005"	"25-34 years"	"25-34"	5340	39258647	13.6
	"2005"	"2005"	"35-44 years"	"35-44"	8507	43505538	19.6
	"2005"	"2005"	"45-54 years"	"45-54"	8968	42495904	21.1
	"2005"	"2005"	"55-64 years"	"55-64"	2763	30641497	9.0
	"2005"	"2005"	"65-74 years"	"65-74"	608	18881697	3.2
	"2005"	"2005"	"75-84 years"	"75-84"	402	13074802	3.1
	"2005"	"2005"	"85+ years"	"85+"	194	4693299	4.1
	"2005"	"2005"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			29818	295516599	10.1
	"2006"	"2006"	"< 1 year"	"1"	44	4041738	1.1
	"2006"	"2006"	"1-4 years"	"1-4"	36	15897145	0.2
	"2006"	"2006"	"5-9 years"	"5-9"	15	19544688	0.1 (Unreliable)
	"2006"	"2006"	"10-14 years"	"10-14"	42	21033138	0.2
	"2006"	"2006"	"15-19 years"	"15-19"	842	21807709	3.9
	"2006"	"2006"	"20-24 years"	"20-24"	2618	21036135	12.4
	"2006"	"2006"	"25-34 years"	"25-34"	6346	39395179	16.1
	"2006"	"2006"	"35-44 years"	"35-44"	9373	43243801	21.7
	"2006"	"2006"	"45-54 years"	"45-54"	10421	43286159	24.1
	"2006"	"2006"	"55-64 years"	"55-64"	3356	31930113	10.5
	"2006"	"2006"	"65-74 years"	"65-74"	677	19203027	3.5
	"2006"	"2006"	"75-84 years"	"75-84"	432	13095151	3.3
	"2006"	"2006"	"85+ years"	"85+"	214	4865929	4.4
	"2006"	"2006"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			34428	298379912	11.5
	"2007"	"2007"	"< 1 year"	"1"	33	4147997	0.8
	"2007"	"2007"	"1-4 years"	"1-4"	44	15977965	0.3
	"2007"	"2007"	"5-9 years"	"5-9"	16	19714611	0.1 (Unreliable)
	"2007"	"2007"	"10-14 years"	"10-14"	58	20841042	0.3
	"2007"	"2007"	"15-19 years"	"15-19"	930	22067816	4.2
	"2007"	"2007"	"20-24 years"	"20-24"	2621	21077999	12.4
	"2007"	"2007"	"25-34 years"	"25-34"	6663	39713463	16.8
	"2007"	"2007"	"35-44 years"	"35-44"	9153	42796230	21.4
	"2007"	"2007"	"45-54 years"	"45-54"	11012	43939939	25.1
	"2007"	"2007"	"55-64 years"	"55-64"	4044	33128434	12.2
	"2007"	"2007"	"65-74 years"	"65-74"	791	19698727	4.0
	"2007"	"2007"	"75-84 years"	"75-84"	419	13087439	3.2
	"2007"	"2007"	"85+ years"	"85+"	226	5039545	4.5
	"2007"	"2007"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			36014	301231207	12.0
	"2008"	"2008"	"< 1 year"	"1"	20	4132735	0.5
	"2008"	"2008"	"1-4 years"	"1-4"	55	16138392	0.3
	"2008"	"2008"	"5-9 years"	"5-9"	11	19929602	0.1 (Unreliable)
	"2008"	"2008"	"10-14 years"	"10-14"	45	20706655	0.2
	"2008"	"2008"	"15-19 years"	"15-19"	930	22210880	4.2
	"2008"	"2008"	"20-24 years"	"20-24"	2558	21180612	12.1
	"2008"	"2008"	"25-34 years"	"25-34"	6739	40207473	16.8
	"2008"	"2008"	"35-44 years"	"35-44"	8886	42192486	21.1
	"2008"	"2008"	"45-54 years"	"45-54"	11223	44460447	25.2
	"2008"	"2008"	"55-64 years"	"55-64"	4398	34157063	12.9
	"2008"	"2008"	"65-74 years"	"65-74"	943	20505679	4.6
	"2008"	"2008"	"75-84 years"	"75-84"	431	13076102	3.3
	"2008"	"2008"	"85+ years"	"85+"	214	5195840	4.1
	"2008"	"2008"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			36456	304093966	12.0
	"2009"	"2009"	"< 1 year"	"1"	32	4003587	0.8
	"2009"	"2009"	"1-4 years"	"1-4"	40	16240931	0.2
	"2009"	"2009"	"5-9 years"	"5-9"	8	20182499	0.0 (Unreliable)
	"2009"	"2009"	"10-14 years"	"10-14"	34	20660564	0.2
	"2009"	"2009"	"15-19 years"	"15-19"	797	22192810	3.6
	"2009"	"2009"	"20-24 years"	"20-24"	2580	21384122	12.1
	"2009"	"2009"	"25-34 years"	"25-34"	7013	40723342	17.2
	"2009"	"2009"	"35-44 years"	"35-44"	8526	41487811	20.6
	"2009"	"2009"	"45-54 years"	"45-54"	11392	44867088	25.4
	"2009"	"2009"	"55-64 years"	"55-64"	4858	35405600	13.7
	"2009"	"2009"	"65-74 years"	"65-74"	998	21233099	4.7
	"2009"	"2009"	"75-84 years"	"75-84"	492	13022775	3.8
	"2009"	"2009"	"85+ years"	"85+"	234	5367301	4.4
	"2009"	"2009"	"Not Stated"	"NS"	7	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			37011	306771529	12.1
	"2010"	"2010"	"< 1 year"	"1"	23	3944153	0.6
	"2010"	"2010"	"1-4 years"	"1-4"	43	16257209	0.3
	"2010"	"2010"	"5-9 years"	"5-9"	14	20348657	0.1 (Unreliable)
	"2010"	"2010"	"10-14 years"	"10-14"	49	20677194	0.2
	"2010"	"2010"	"15-19 years"	"15-19"	831	22040343	3.8
	"2010"	"2010"	"20-24 years"	"20-24"	2740	21585999	12.7
	"2010"	"2010"	"25-34 years"	"25-34"	7573	41063948	18.4
	"2010"	"2010"	"35-44 years"	"35-44"	8547	41070606	20.8
	"2010"	"2010"	"45-54 years"	"45-54"	11299	45006716	25.1
	"2010"	"2010"	"55-64 years"	"55-64"	5486	36482729	15.0
	"2010"	"2010"	"65-74 years"	"65-74"	1017	21713429	4.7
	"2010"	"2010"	"75-84 years"	"75-84"	449	13061122	3.4
	"2010"	"2010"	"85+ years"	"85+"	258	5493433	4.7
	"2010"	"2010"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			38333	308745538	12.4
	"2011"	"2011"	"< 1 year"	"1"	24	3996537	0.6
	"2011"	"2011"	"1-4 years"	"1-4"	40	16165521	0.2
	"2011"	"2011"	"5-9 years"	"5-9"	11	20334196	0.1 (Unreliable)
	"2011"	"2011"	"10-14 years"	"10-14"	37	20704852	0.2
	"2011"	"2011"	"15-19 years"	"15-19"	832	21644043	3.8
	"2011"	"2011"	"20-24 years"	"20-24"	2930	22153832	13.2
	"2011"	"2011"	"25-34 years"	"25-34"	8446	41790498	20.2
	"2011"	"2011"	"35-44 years"	"35-44"	9130	40627954	22.5
	"2011"	"2011"	"45-54 years"	"45-54"	11933	44718203	26.7
	"2011"	"2011"	"55-64 years"	"55-64"	6060	38062140	15.9
	"2011"	"2011"	"65-74 years"	"65-74"	1204	22481738	5.4
	"2011"	"2011"	"75-84 years"	"75-84"	447	13175230	3.4
	"2011"	"2011"	"85+ years"	"85+"	243	5737173	4.2
	"2011"	"2011"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			41343	311591917	13.3
	"2012"	"2012"	"< 1 year"	"1"	32	3943077	0.8
	"2012"	"2012"	"1-4 years"	"1-4"	40	16056267	0.2
	"2012"	"2012"	"5-9 years"	"5-9"	8	20475536	0.0 (Unreliable)
	"2012"	"2012"	"10-14 years"	"10-14"	35	20669218	0.2
	"2012"	"2012"	"15-19 years"	"15-19"	666	21360702	3.1
	"2012"	"2012"	"20-24 years"	"20-24"	2852	22583203	12.6
	"2012"	"2012"	"25-34 years"	"25-34"	8508	42309321	20.1
	"2012"	"2012"	"35-44 years"	"35-44"	8948	40516420	22.1
	"2012"	"2012"	"45-54 years"	"45-54"	11895	44268738	26.9
	"2012"	"2012"	"55-64 years"	"55-64"	6424	38586202	16.6
	"2012"	"2012"	"65-74 years"	"65-74"	1397	23985392	5.8
	"2012"	"2012"	"75-84 years"	"75-84"	446	13272634	3.4
	"2012"	"2012"	"85+ years"	"85+"	254	5887330	4.3
	"2012"	"2012"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			41507	313914040	13.2
	"2013"	"2013"	"< 1 year"	"1"	30	3941783	0.8
	"2013"	"2013"	"1-4 years"	"1-4"	42	15926305	0.3
	"2013"	"2013"	"5-9 years"	"5-9"	8	20570581	0.0 (Unreliable)
	"2013"	"2013"	"10-14 years"	"10-14"	25	20650454	0.1
	"2013"	"2013"	"15-19 years"	"15-19"	672	21158964	3.2
	"2013"	"2013"	"20-24 years"	"20-24"	2992	22795438	13.1
	"2013"	"2013"	"25-34 years"	"25-34"	8947	42844587	20.9
	"2013"	"2013"	"35-44 years"	"35-44"	9320	40452690	23.0
	"2013"	"2013"	"45-54 years"	"45-54"	12045	43767532	27.5
	"2013"	"2013"	"55-64 years"	"55-64"	7553	39316431	19.2
	"2013"	"2013"	"65-74 years"	"65-74"	1602	25216766	6.4
	"2013"	"2013"	"75-84 years"	"75-84"	482	13446519	3.6
	"2013"	"2013"	"85+ years"	"85+"	261	6040789	4.3
	"2013"	"2013"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			43985	316128839	13.9
	"2014"	"2014"	"< 1 year"	"1"	24	3948350	0.6
	"2014"	"2014"	"1-4 years"	"1-4"	44	15928533	0.3
	"2014"	"2014"	"5-9 years"	"5-9"	7	20519566	0.0 (Unreliable)
	"2014"	"2014"	"10-14 years"	"10-14"	34	20671506	0.2
	"2014"	"2014"	"15-19 years"	"15-19"	658	21067647	3.1
	"2014"	"2014"	"20-24 years"	"20-24"	3140	22912174	13.7
	"2014"	"2014"	"25-34 years"	"25-34"	10055	43516504	23.1
	"2014"	"2014"	"35-44 years"	"35-44"	10134	40513133	25.0
	"2014"	"2014"	"45-54 years"	"45-54"	12263	43458851	28.2
	"2014"	"2014"	"55-64 years"	"55-64"	8122	40077581	20.3
	"2014"	"2014"	"65-74 years"	"65-74"	1817	26398290	6.9
	"2014"	"2014"	"75-84 years"	"75-84"	500	13682690	3.7
	"2014"	"2014"	"85+ years"	"85+"	253	6162231	4.1
	"2014"	"2014"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			47057	318857056	14.8
	"2015"	"2015"	"< 1 year"	"1"	28	3978038	0.7
	"2015"	"2015"	"1-4 years"	"1-4"	56	15929243	0.4
	"2015"	"2015"	"5-9 years"	"5-9"	15	20487176	0.1 (Unreliable)
	"2015"	"2015"	"10-14 years"	"10-14"	45	20622330	0.2
	"2015"	"2015"	"15-19 years"	"15-19"	772	21108903	3.7
	"2015"	"2015"	"20-24 years"	"20-24"	3463	22739313	15.2
	"2015"	"2015"	"25-34 years"	"25-34"	11880	44137202	26.9
	"2015"	"2015"	"35-44 years"	"35-44"	11505	40589783	28.3
	"2015"	"2015"	"45-54 years"	"45-54"	12974	43188161	30.0
	"2015"	"2015"	"55-64 years"	"55-64"	8902	40877819	21.8
	"2015"	"2015"	"65-74 years"	"65-74"	1986	27550517	7.2
	"2015"	"2015"	"75-84 years"	"75-84"	500	13923174	3.6
	"2015"	"2015"	"85+ years"	"85+"	277	6287161	4.4
	"2015"	"2015"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			52408	321418820	16.3
	"2016"	"2016"	"< 1 year"	"1"	33	3970145	0.8
	"2016"	"2016"	"1-4 years"	"1-4"	50	15956892	0.3
	"2016"	"2016"	"5-9 years"	"5-9"	14	20429799	0.1 (Unreliable)
	"2016"	"2016"	"10-14 years"	"10-14"	45	20618233	0.2
	"2016"	"2016"	"15-19 years"	"15-19"	873	21129999	4.1
	"2016"	"2016"	"20-24 years"	"20-24"	4504	22381028	20.1
	"2016"	"2016"	"25-34 years"	"25-34"	15443	44677243	34.6
	"2016"	"2016"	"35-44 years"	"35-44"	14183	40470156	35.0
	"2016"	"2016"	"45-54 years"	"45-54"	14771	42786679	34.5
	"2016"	"2016"	"55-64 years"	"55-64"	10634	41463144	25.6
	"2016"	"2016"	"65-74 years"	"65-74"	2335	28630330	8.2
	"2016"	"2016"	"75-84 years"	"75-84"	487	14233534	3.4
	"2016"	"2016"	"85+ years"	"85+"	254	6380331	4.0
	"2016"	"2016"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			63636	323127513	19.7
"Total"					632407	5435746389	11.6
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"ICD-10 Codes: V01.1 (Pedestrian injured in collision with pedal cycle, traffic accident); X40 (Accidental poisoning by and"
"exposure to nonopioid analgesics, antipyretics and antirheumatics); X41 (Accidental poisoning by and exposure to antiepileptic,"
"sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X42 (Accidental poisoning by and exposure"
"to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X43 (Accidental poisoning by and exposure to other"
"drugs acting on the autonomic nervous system); X44 (Accidental poisoning by and exposure to other and unspecified drugs,"
"medicaments and biological substances); X60 (Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics"
"and antirheumatics); X61 (Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and"
"psychotropic drugs, not elsewhere classified); X62 (Intentional self-poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified); X63 (Intentional self-poisoning by and exposure to other drugs acting on the"
"autonomic nervous system); X64 (Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances); X85 (Assault by drugs, medicaments and biological substances); Y10 (Poisoning by and exposure to"
"nonopioid analgesics, antipyretics and antirheumatics, undetermined intent); Y11 (Poisoning by and exposure to antiepileptic,"
"sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by"
"and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning"
"by and exposure to other drugs acting on the autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to"
"other and unspecified drugs, medicaments and biological substances, undetermined intent)"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Mar 1, 2019 9:51:27 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the Compressed Mortality File 1999-2016 Series 20 No."
"2U, 2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Mar 1, 2019 9:51:27 PM"
"---"
Caveats:
"1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"2. About national population figures: population figures for 1999 are from the 1990-1999 series of bridged-race intercensal"
"estimates of the July 1 resident population; population figures for 2000 and 2010 are bridged-race April 1 census counts;"
"population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race intercensal estimates of the July 1"
"resident population; population figures for 2011 are bridged-race postcensal estimates of the July 1 resident population, from"
"the Vintage 2011 series released by NCHS on July 18, 2012; population figures for 2012 are bridged-race postcensal estimates of"
"the July 1 resident population, from the Vintage 2012 series released by NCHS on June 13, 2013; population figures for 2013 are"
"bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2013 series released by NCHS on June 26,"
"2014; population figures for 2014 are bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2014"
"series released by NCHS on June 30, 2015. and population figures for 2015 are bridged-race postcensal estimates of the July 1"
"resident population, from the Vintage 2015 series released by NCHS on June 28, 2016. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
"5. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#ICD-10 Changes."
"6. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#2014-Revision."
"7. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/cmf.html#California-Reporting-Anomalies."
"8. Circumstances in Georgia for the years 2008-2009 have resulted in unusually high death counts for the ICD-10 cause of death"
"code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data. More"
"information: http://wonder.cdc.gov/wonder/help/cmf.html#Georgia-Reporting-Anomalies."
"9. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/cmf.html#New-Jersey-Reporting-Anomalies."
