"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"85+ years"	"85+"	183	4466176	4.1
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			25785	290107933	8.9
	"2004"	"2004"	"< 1 year"	"1"	30	4014258	0.7
	"2004"	"2004"	"1-4 years"	"1-4"	24	15771627	0.2
	"2004"	"2004"	"5-14 years"	"5-14"	63	40865917	0.2
	"2004"	"2004"	"15-24 years"	"15-24"	2751	41948112	6.6
	"2004"	"2004"	"25-34 years"	"25-34"	4680	39266556	11.9
	"2004"	"2004"	"35-44 years"	"35-44"	8439	43800275	19.3
	"2004"	"2004"	"45-54 years"	"45-54"	8040	41629930	19.3
	"2004"	"2004"	"55-64 years"	"55-64"	2283	29305304	7.8
	"2004"	"2004"	"65-74 years"	"65-74"	549	18667533	2.9
	"2004"	"2004"	"75-84 years"	"75-84"	372	12989903	2.9
	"2004"	"2004"	"85+ years"	"85+"	183	4545883	4.0
	"2004"	"2004"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			27424	292805298	9.4
	"2005"	"2005"	"< 1 year"	"1"	35	4004393	0.9
	"2005"	"2005"	"1-4 years"	"1-4"	30	15913007	0.2
	"2005"	"2005"	"5-14 years"	"5-14"	47	40601646	0.1
	"2005"	"2005"	"15-24 years"	"15-24"	2918	42446169	6.9
	"2005"	"2005"	"25-34 years"	"25-34"	5340	39258647	13.6
	"2005"	"2005"	"35-44 years"	"35-44"	8506	43505538	19.6
	"2005"	"2005"	"45-54 years"	"45-54"	8968	42495904	21.1
	"2005"	"2005"	"55-64 years"	"55-64"	2761	30641497	9.0
	"2005"	"2005"	"65-74 years"	"65-74"	607	18881697	3.2
	"2005"	"2005"	"75-84 years"	"75-84"	402	13074802	3.1
	"2005"	"2005"	"85+ years"	"85+"	194	4693299	4.1
	"2005"	"2005"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			29813	295516599	10.1
	"2006"	"2006"	"< 1 year"	"1"	44	4041738	1.1
	"2006"	"2006"	"1-4 years"	"1-4"	36	15897145	0.2
	"2006"	"2006"	"5-14 years"	"5-14"	57	40577826	0.1
	"2006"	"2006"	"15-24 years"	"15-24"	3460	42843844	8.1
	"2006"	"2006"	"25-34 years"	"25-34"	6346	39395179	16.1
	"2006"	"2006"	"35-44 years"	"35-44"	9373	43243801	21.7
	"2006"	"2006"	"45-54 years"	"45-54"	10421	43286159	24.1
	"2006"	"2006"	"55-64 years"	"55-64"	3355	31930113	10.5
	"2006"	"2006"	"65-74 years"	"65-74"	677	19203027	3.5
	"2006"	"2006"	"75-84 years"	"75-84"	431	13095151	3.3
	"2006"	"2006"	"85+ years"	"85+"	213	4865929	4.4
	"2006"	"2006"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			34425	298379912	11.5
	"2007"	"2007"	"< 1 year"	"1"	33	4147997	0.8
	"2007"	"2007"	"1-4 years"	"1-4"	44	15977965	0.3
	"2007"	"2007"	"5-14 years"	"5-14"	74	40555653	0.2
	"2007"	"2007"	"15-24 years"	"15-24"	3550	43145815	8.2
	"2007"	"2007"	"25-34 years"	"25-34"	6663	39713463	16.8
	"2007"	"2007"	"35-44 years"	"35-44"	9152	42796230	21.4
	"2007"	"2007"	"45-54 years"	"45-54"	11012	43939939	25.1
	"2007"	"2007"	"55-64 years"	"55-64"	4043	33128434	12.2
	"2007"	"2007"	"65-74 years"	"65-74"	791	19698727	4.0
	"2007"	"2007"	"75-84 years"	"75-84"	418	13087439	3.2
	"2007"	"2007"	"85+ years"	"85+"	226	5039545	4.5
	"2007"	"2007"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			36010	301231207	12.0
	"2008"	"2008"	"< 1 year"	"1"	20	4132735	0.5
	"2008"	"2008"	"1-4 years"	"1-4"	55	16138392	0.3
	"2008"	"2008"	"5-14 years"	"5-14"	56	40636257	0.1
	"2008"	"2008"	"15-24 years"	"15-24"	3487	43391492	8.0
	"2008"	"2008"	"25-34 years"	"25-34"	6739	40207473	16.8
	"2008"	"2008"	"35-44 years"	"35-44"	8885	42192486	21.1
	"2008"	"2008"	"45-54 years"	"45-54"	11222	44460447	25.2
	"2008"	"2008"	"55-64 years"	"55-64"	4396	34157063	12.9
	"2008"	"2008"	"65-74 years"	"65-74"	942	20505679	4.6
	"2008"	"2008"	"75-84 years"	"75-84"	431	13076102	3.3
	"2008"	"2008"	"85+ years"	"85+"	214	5195840	4.1
	"2008"	"2008"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			36450	304093966	12.0
	"2009"	"2009"	"< 1 year"	"1"	32	4003587	0.8
	"2009"	"2009"	"1-4 years"	"1-4"	40	16240931	0.2
	"2009"	"2009"	"5-14 years"	"5-14"	42	40843063	0.1
	"2009"	"2009"	"15-24 years"	"15-24"	3377	43576932	7.7
	"2009"	"2009"	"25-34 years"	"25-34"	7013	40723342	17.2
	"2009"	"2009"	"35-44 years"	"35-44"	8524	41487811	20.5
	"2009"	"2009"	"45-54 years"	"45-54"	11390	44867088	25.4
	"2009"	"2009"	"55-64 years"	"55-64"	4858	35405600	13.7
	"2009"	"2009"	"65-74 years"	"65-74"	998	21233099	4.7
	"2009"	"2009"	"75-84 years"	"75-84"	489	13022775	3.8
	"2009"	"2009"	"85+ years"	"85+"	234	5367301	4.4
	"2009"	"2009"	"Not Stated"	"NS"	7	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			37004	306771529	12.1
	"2010"	"2010"	"< 1 year"	"1"	23	3944153	0.6
	"2010"	"2010"	"1-4 years"	"1-4"	43	16257209	0.3
	"2010"	"2010"	"5-14 years"	"5-14"	63	41025851	0.2
	"2010"	"2010"	"15-24 years"	"15-24"	3571	43626342	8.2
	"2010"	"2010"	"25-34 years"	"25-34"	7572	41063948	18.4
	"2010"	"2010"	"35-44 years"	"35-44"	8546	41070606	20.8
	"2010"	"2010"	"45-54 years"	"45-54"	11299	45006716	25.1
	"2010"	"2010"	"55-64 years"	"55-64"	5486	36482729	15.0
	"2010"	"2010"	"65-74 years"	"65-74"	1017	21713429	4.7
	"2010"	"2010"	"75-84 years"	"75-84"	447	13061122	3.4
	"2010"	"2010"	"85+ years"	"85+"	258	5493433	4.7
	"2010"	"2010"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			38329	308745538	12.4
	"2011"	"2011"	"< 1 year"	"1"	24	3996537	0.6
	"2011"	"2011"	"1-4 years"	"1-4"	40	16165521	0.2
	"2011"	"2011"	"5-14 years"	"5-14"	48	41039048	0.1
	"2011"	"2011"	"15-24 years"	"15-24"	3762	43797875	8.6
	"2011"	"2011"	"25-34 years"	"25-34"	8445	41790498	20.2
	"2011"	"2011"	"35-44 years"	"35-44"	9130	40627954	22.5
	"2011"	"2011"	"45-54 years"	"45-54"	11933	44718203	26.7
	"2011"	"2011"	"55-64 years"	"55-64"	6060	38062140	15.9
	"2011"	"2011"	"65-74 years"	"65-74"	1204	22481738	5.4
	"2011"	"2011"	"75-84 years"	"75-84"	446	13175230	3.4
	"2011"	"2011"	"85+ years"	"85+"	242	5737173	4.2
	"2011"	"2011"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			41340	311591917	13.3
	"2012"	"2012"	"< 1 year"	"1"	32	3943077	0.8
	"2012"	"2012"	"1-4 years"	"1-4"	40	16056267	0.2
	"2012"	"2012"	"5-14 years"	"5-14"	42	41144754	0.1
	"2012"	"2012"	"15-24 years"	"15-24"	3518	43943905	8.0
	"2012"	"2012"	"25-34 years"	"25-34"	8508	42309321	20.1
	"2012"	"2012"	"35-44 years"	"35-44"	8948	40516420	22.1
	"2012"	"2012"	"45-54 years"	"45-54"	11895	44268738	26.9
	"2012"	"2012"	"55-64 years"	"55-64"	6423	38586202	16.6
	"2012"	"2012"	"65-74 years"	"65-74"	1396	23985392	5.8
	"2012"	"2012"	"75-84 years"	"75-84"	445	13272634	3.4
	"2012"	"2012"	"85+ years"	"85+"	253	5887330	4.3
	"2012"	"2012"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			41502	313914040	13.2
	"2013"	"2013"	"< 1 year"	"1"	30	3941783	0.8
	"2013"	"2013"	"1-4 years"	"1-4"	42	15926305	0.3
	"2013"	"2013"	"5-14 years"	"5-14"	33	41221035	0.1
	"2013"	"2013"	"15-24 years"	"15-24"	3664	43954402	8.3
	"2013"	"2013"	"25-34 years"	"25-34"	8947	42844587	20.9
	"2013"	"2013"	"35-44 years"	"35-44"	9320	40452690	23.0
	"2013"	"2013"	"45-54 years"	"45-54"	12045	43767532	27.5
	"2013"	"2013"	"55-64 years"	"55-64"	7551	39316431	19.2
	"2013"	"2013"	"65-74 years"	"65-74"	1602	25216766	6.4
	"2013"	"2013"	"75-84 years"	"75-84"	481	13446519	3.6
	"2013"	"2013"	"85+ years"	"85+"	261	6040789	4.3
	"2013"	"2013"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			43982	316128839	13.9
	"2014"	"2014"	"< 1 year"	"1"	24	3948350	0.6
	"2014"	"2014"	"1-4 years"	"1-4"	44	15928533	0.3
	"2014"	"2014"	"5-14 years"	"5-14"	41	41191072	0.1
	"2014"	"2014"	"15-24 years"	"15-24"	3798	43979821	8.6
	"2014"	"2014"	"25-34 years"	"25-34"	10055	43516504	23.1
	"2014"	"2014"	"35-44 years"	"35-44"	10134	40513133	25.0
	"2014"	"2014"	"45-54 years"	"45-54"	12263	43458851	28.2
	"2014"	"2014"	"55-64 years"	"55-64"	8122	40077581	20.3
	"2014"	"2014"	"65-74 years"	"65-74"	1816	26398290	6.9
	"2014"	"2014"	"75-84 years"	"75-84"	499	13682690	3.6
	"2014"	"2014"	"85+ years"	"85+"	253	6162231	4.1
	"2014"	"2014"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			47055	318857056	14.8
	"2015"	"2015"	"< 1 year"	"1"	28	3978038	0.7
	"2015"	"2015"	"1-4 years"	"1-4"	56	15929243	0.4
	"2015"	"2015"	"5-14 years"	"5-14"	60	41109506	0.1
	"2015"	"2015"	"15-24 years"	"15-24"	4235	43848216	9.7
	"2015"	"2015"	"25-34 years"	"25-34"	11880	44137202	26.9
	"2015"	"2015"	"35-44 years"	"35-44"	11505	40589783	28.3
	"2015"	"2015"	"45-54 years"	"45-54"	12974	43188161	30.0
	"2015"	"2015"	"55-64 years"	"55-64"	8901	40877819	21.8
	"2015"	"2015"	"65-74 years"	"65-74"	1985	27550517	7.2
	"2015"	"2015"	"75-84 years"	"75-84"	499	13923174	3.6
	"2015"	"2015"	"85+ years"	"85+"	276	6287161	4.4
	"2015"	"2015"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			52404	321418820	16.3
	"2016"	"2016"	"< 1 year"	"1"	33	3970145	0.8
	"2016"	"2016"	"1-4 years"	"1-4"	50	15956892	0.3
	"2016"	"2016"	"5-14 years"	"5-14"	59	41048032	0.1
	"2016"	"2016"	"15-24 years"	"15-24"	5376	43511027	12.4
	"2016"	"2016"	"25-34 years"	"25-34"	15443	44677243	34.6
	"2016"	"2016"	"35-44 years"	"35-44"	14183	40470156	35.0
	"2016"	"2016"	"45-54 years"	"45-54"	14771	42786679	34.5
	"2016"	"2016"	"55-64 years"	"55-64"	10632	41463144	25.6
	"2016"	"2016"	"65-74 years"	"65-74"	2334	28630330	8.2
	"2016"	"2016"	"75-84 years"	"75-84"	487	14233534	3.4
	"2016"	"2016"	"85+ years"	"85+"	254	6380331	4.0
	"2016"	"2016"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			63632	323127513	19.7
	"2017"	"2017"	"< 1 year"	"1"	36	3939295	0.9
	"2017"	"2017"	"1-4 years"	"1-4"	38	15999565	0.2
	"2017"	"2017"	"5-14 years"	"5-14"	73	41082692	0.2
	"2017"	"2017"	"15-24 years"	"15-24"	5455	43250295	12.6
	"2017"	"2017"	"25-34 years"	"25-34"	17400	45342672	38.4
	"2017"	"2017"	"35-44 years"	"35-44"	15949	40875370	39.0
	"2017"	"2017"	"45-54 years"	"45-54"	15996	42374952	37.7
	"2017"	"2017"	"55-64 years"	"55-64"	11747	41995658	28.0
	"2017"	"2017"	"65-74 years"	"65-74"	2738	29683446	9.2
	"2017"	"2017"	"75-84 years"	"75-84"	530	14706551	3.6
	"2017"	"2017"	"85+ years"	"85+"	261	6468682	4.0
	"2017"	"2017"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			70237	325719178	21.6
"Total"					702568	5761465567	12.2
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X85 (Assault by drugs,"
"medicaments and biological substances); Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,"
"undetermined intent); Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic"
"drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the"
"autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances, undetermined intent)"
"Group By: Year; Ten-Year Age Groups"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 1, 2019 10:15:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Mar 1, 2019 10:15:31 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"6. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"7. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"8. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
