"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2004"	"2004"	"45-54 years"	"45-54"	177697	41629930	426.8
	"2004"	"2004"	"55-64 years"	"55-64"	264697	29305304	903.2
	"2004"	"2004"	"65-74 years"	"65-74"	399666	18667533	2141.0
	"2004"	"2004"	"75-84 years"	"75-84"	684230	12989903	5267.4
	"2004"	"2004"	"85+ years"	"85+"	671773	4545883	14777.6
	"2004"	"2004"	"Not Stated"	"NS"	346	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			2397615	292805298	818.8
	"2005"	"2005"	"< 1 year"	"1"	28440	4004393	710.2
	"2005"	"2005"	"1-4 years"	"1-4"	4756	15913007	29.9
	"2005"	"2005"	"5-14 years"	"5-14"	6602	40601646	16.3
	"2005"	"2005"	"15-24 years"	"15-24"	34234	42446169	80.7
	"2005"	"2005"	"25-34 years"	"25-34"	41925	39258647	106.8
	"2005"	"2005"	"35-44 years"	"35-44"	84785	43505538	194.9
	"2005"	"2005"	"45-54 years"	"45-54"	183530	42495904	431.9
	"2005"	"2005"	"55-64 years"	"55-64"	275301	30641497	898.5
	"2005"	"2005"	"65-74 years"	"65-74"	398355	18881697	2109.7
	"2005"	"2005"	"75-84 years"	"75-84"	686665	13074802	5251.8
	"2005"	"2005"	"85+ years"	"85+"	703169	4693299	14982.4
	"2005"	"2005"	"Not Stated"	"NS"	255	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			2448017	295516599	828.4
	"2006"	"2006"	"< 1 year"	"1"	28527	4041738	705.8
	"2006"	"2006"	"1-4 years"	"1-4"	4631	15897145	29.1
	"2006"	"2006"	"5-14 years"	"5-14"	6149	40577826	15.2
	"2006"	"2006"	"15-24 years"	"15-24"	34887	42843844	81.4
	"2006"	"2006"	"25-34 years"	"25-34"	42952	39395179	109.0
	"2006"	"2006"	"35-44 years"	"35-44"	83043	43243801	192.0
	"2006"	"2006"	"45-54 years"	"45-54"	185031	43286159	427.5
	"2006"	"2006"	"55-64 years"	"55-64"	281401	31930113	881.3
	"2006"	"2006"	"65-74 years"	"65-74"	390093	19203027	2031.4
	"2006"	"2006"	"75-84 years"	"75-84"	667338	13095151	5096.1
	"2006"	"2006"	"85+ years"	"85+"	701992	4865929	14426.7
	"2006"	"2006"	"Not Stated"	"NS"	220	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			2426264	298379912	813.1
	"2007"	"2007"	"< 1 year"	"1"	29138	4147997	702.5
	"2007"	"2007"	"1-4 years"	"1-4"	4703	15977965	29.4
	"2007"	"2007"	"5-14 years"	"5-14"	6147	40555653	15.2
	"2007"	"2007"	"15-24 years"	"15-24"	33982	43145815	78.8
	"2007"	"2007"	"25-34 years"	"25-34"	42572	39713463	107.2
	"2007"	"2007"	"35-44 years"	"35-44"	79606	42796230	186.0
	"2007"	"2007"	"45-54 years"	"45-54"	184686	43939939	420.3
	"2007"	"2007"	"55-64 years"	"55-64"	287110	33128434	866.7
	"2007"	"2007"	"65-74 years"	"65-74"	389238	19698727	1976.0
	"2007"	"2007"	"75-84 years"	"75-84"	652682	13087439	4987.1
	"2007"	"2007"	"85+ years"	"85+"	713647	5039545	14160.9
	"2007"	"2007"	"Not Stated"	"NS"	201	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			2423712	301231207	804.6
	"2008"	"2008"	"< 1 year"	"1"	28059	4132735	678.9
	"2008"	"2008"	"1-4 years"	"1-4"	4730	16138392	29.3
	"2008"	"2008"	"5-14 years"	"5-14"	5651	40636257	13.9
	"2008"	"2008"	"15-24 years"	"15-24"	32198	43391492	74.2
	"2008"	"2008"	"25-34 years"	"25-34"	42275	40207473	105.1
	"2008"	"2008"	"35-44 years"	"35-44"	76370	42192486	181.0
	"2008"	"2008"	"45-54 years"	"45-54"	186542	44460447	419.6
	"2008"	"2008"	"55-64 years"	"55-64"	296182	34157063	867.1
	"2008"	"2008"	"65-74 years"	"65-74"	401579	20505679	1958.4
	"2008"	"2008"	"75-84 years"	"75-84"	653560	13076102	4998.1
	"2008"	"2008"	"85+ years"	"85+"	744691	5195840	14332.4
	"2008"	"2008"	"Not Stated"	"NS"	147	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			2471984	304093966	812.9
	"2009"	"2009"	"< 1 year"	"1"	26412	4003587	659.7
	"2009"	"2009"	"1-4 years"	"1-4"	4450	16240931	27.4
	"2009"	"2009"	"5-14 years"	"5-14"	5651	40843063	13.8
	"2009"	"2009"	"15-24 years"	"15-24"	30416	43576932	69.8
	"2009"	"2009"	"25-34 years"	"25-34"	42502	40723342	104.4
	"2009"	"2009"	"35-44 years"	"35-44"	74665	41487811	180.0
	"2009"	"2009"	"45-54 years"	"45-54"	187568	44867088	418.1
	"2009"	"2009"	"55-64 years"	"55-64"	303307	35405600	856.7
	"2009"	"2009"	"65-74 years"	"65-74"	401032	21233099	1888.7
	"2009"	"2009"	"75-84 years"	"75-84"	627727	13022775	4820.2
	"2009"	"2009"	"85+ years"	"85+"	733178	5367301	13660.1
	"2009"	"2009"	"Not Stated"	"NS"	255	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			2437163	306771529	794.5
	"2010"	"2010"	"< 1 year"	"1"	24586	3944153	623.4
	"2010"	"2010"	"1-4 years"	"1-4"	4316	16257209	26.5
	"2010"	"2010"	"5-14 years"	"5-14"	5279	41025851	12.9
	"2010"	"2010"	"15-24 years"	"15-24"	29551	43626342	67.7
	"2010"	"2010"	"25-34 years"	"25-34"	42259	41063948	102.9
	"2010"	"2010"	"35-44 years"	"35-44"	70033	41070606	170.5
	"2010"	"2010"	"45-54 years"	"45-54"	183207	45006716	407.1
	"2010"	"2010"	"55-64 years"	"55-64"	310802	36482729	851.9
	"2010"	"2010"	"65-74 years"	"65-74"	407151	21713429	1875.1
	"2010"	"2010"	"75-84 years"	"75-84"	625651	13061122	4790.2
	"2010"	"2010"	"85+ years"	"85+"	765474	5493433	13934.3
	"2010"	"2010"	"Not Stated"	"NS"	126	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			2468435	308745538	799.5
	"2011"	"2011"	"< 1 year"	"1"	23985	3996537	600.1
	"2011"	"2011"	"1-4 years"	"1-4"	4246	16165521	26.3
	"2011"	"2011"	"5-14 years"	"5-14"	5401	41039048	13.2
	"2011"	"2011"	"15-24 years"	"15-24"	29667	43797875	67.7
	"2011"	"2011"	"25-34 years"	"25-34"	43748	41790498	104.7
	"2011"	"2011"	"35-44 years"	"35-44"	69893	40627954	172.0
	"2011"	"2011"	"45-54 years"	"45-54"	183247	44718203	409.8
	"2011"	"2011"	"55-64 years"	"55-64"	323315	38062140	849.4
	"2011"	"2011"	"65-74 years"	"65-74"	415052	22481738	1846.2
	"2011"	"2011"	"75-84 years"	"75-84"	626225	13175230	4753.0
	"2011"	"2011"	"85+ years"	"85+"	790545	5737173	13779.3
	"2011"	"2011"	"Not Stated"	"NS"	134	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			2515458	311591917	807.3
	"2012"	"2012"	"< 1 year"	"1"	23629	3943077	599.3
	"2012"	"2012"	"1-4 years"	"1-4"	4218	16056267	26.3
	"2012"	"2012"	"5-14 years"	"5-14"	5200	41144754	12.6
	"2012"	"2012"	"15-24 years"	"15-24"	29182	43943905	66.4
	"2012"	"2012"	"25-34 years"	"25-34"	44591	42309321	105.4
	"2012"	"2012"	"35-44 years"	"35-44"	69162	40516420	170.7
	"2012"	"2012"	"45-54 years"	"45-54"	179463	44268738	405.4
	"2012"	"2012"	"55-64 years"	"55-64"	329606	38586202	854.2
	"2012"	"2012"	"65-74 years"	"65-74"	432346	23985392	1802.5
	"2012"	"2012"	"75-84 years"	"75-84"	620428	13272634	4674.5
	"2012"	"2012"	"85+ years"	"85+"	805307	5887330	13678.6
	"2012"	"2012"	"Not Stated"	"NS"	147	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			2543279	313914040	810.2
	"2013"	"2013"	"< 1 year"	"1"	23440	3941783	594.7
	"2013"	"2013"	"1-4 years"	"1-4"	4068	15926305	25.5
	"2013"	"2013"	"5-14 years"	"5-14"	5340	41221035	13.0
	"2013"	"2013"	"15-24 years"	"15-24"	28486	43954402	64.8
	"2013"	"2013"	"25-34 years"	"25-34"	45463	42844587	106.1
	"2013"	"2013"	"35-44 years"	"35-44"	69573	40452690	172.0
	"2013"	"2013"	"45-54 years"	"45-54"	177724	43767532	406.1
	"2013"	"2013"	"55-64 years"	"55-64"	338127	39316431	860.0
	"2013"	"2013"	"65-74 years"	"65-74"	454429	25216766	1802.1
	"2013"	"2013"	"75-84 years"	"75-84"	625013	13446519	4648.1
	"2013"	"2013"	"85+ years"	"85+"	825198	6040789	13660.4
	"2013"	"2013"	"Not Stated"	"NS"	132	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			2596993	316128839	821.5
	"2014"	"2014"	"< 1 year"	"1"	23215	3948350	588.0
	"2014"	"2014"	"1-4 years"	"1-4"	3830	15928533	24.0
	"2014"	"2014"	"5-14 years"	"5-14"	5250	41191072	12.7
	"2014"	"2014"	"15-24 years"	"15-24"	28791	43979821	65.5
	"2014"	"2014"	"25-34 years"	"25-34"	47177	43516504	108.4
	"2014"	"2014"	"35-44 years"	"35-44"	70996	40513133	175.2
	"2014"	"2014"	"45-54 years"	"45-54"	175917	43458851	404.8
	"2014"	"2014"	"55-64 years"	"55-64"	348808	40077581	870.3
	"2014"	"2014"	"65-74 years"	"65-74"	471541	26398290	1786.3
	"2014"	"2014"	"75-84 years"	"75-84"	624504	13682690	4564.2
	"2014"	"2014"	"85+ years"	"85+"	826226	6162231	13407.9
	"2014"	"2014"	"Not Stated"	"NS"	163	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			2626418	318857056	823.7
	"2015"	"2015"	"< 1 year"	"1"	23455	3978038	589.6
	"2015"	"2015"	"1-4 years"	"1-4"	3965	15929243	24.9
	"2015"	"2015"	"5-14 years"	"5-14"	5411	41109506	13.2
	"2015"	"2015"	"15-24 years"	"15-24"	30494	43848216	69.5
	"2015"	"2015"	"25-34 years"	"25-34"	51517	44137202	116.7
	"2015"	"2015"	"35-44 years"	"35-44"	73088	40589783	180.1
	"2015"	"2015"	"45-54 years"	"45-54"	174494	43188161	404.0
	"2015"	"2015"	"55-64 years"	"55-64"	357785	40877819	875.3
	"2015"	"2015"	"65-74 years"	"65-74"	495016	27550517	1796.8
	"2015"	"2015"	"75-84 years"	"75-84"	637566	13923174	4579.2
	"2015"	"2015"	"85+ years"	"85+"	859701	6287161	13673.9
	"2015"	"2015"	"Not Stated"	"NS"	138	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			2712630	321418820	844.0
	"2016"	"2016"	"< 1 year"	"1"	23161	3970145	583.4
	"2016"	"2016"	"1-4 years"	"1-4"	4045	15956892	25.3
	"2016"	"2016"	"5-14 years"	"5-14"	5503	41048032	13.4
	"2016"	"2016"	"15-24 years"	"15-24"	32575	43511027	74.9
	"2016"	"2016"	"25-34 years"	"25-34"	57616	44677243	129.0
	"2016"	"2016"	"35-44 years"	"35-44"	77792	40470156	192.2
	"2016"	"2016"	"45-54 years"	"45-54"	173516	42786679	405.5
	"2016"	"2016"	"55-64 years"	"55-64"	366445	41463144	883.8
	"2016"	"2016"	"65-74 years"	"65-74"	512080	28630330	1788.6
	"2016"	"2016"	"75-84 years"	"75-84"	636916	14233534	4474.8
	"2016"	"2016"	"85+ years"	"85+"	854462	6380331	13392.1
	"2016"	"2016"	"Not Stated"	"NS"	137	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			2744248	323127513	849.3
	"2017"	"2017"	"< 1 year"	"1"	22335	3939295	567.0
	"2017"	"2017"	"1-4 years"	"1-4"	3880	15999565	24.3
	"2017"	"2017"	"5-14 years"	"5-14"	5571	41082692	13.6
	"2017"	"2017"	"15-24 years"	"15-24"	32025	43250295	74.0
	"2017"	"2017"	"25-34 years"	"25-34"	60215	45342672	132.8
	"2017"	"2017"	"35-44 years"	"35-44"	79796	40875370	195.2
	"2017"	"2017"	"45-54 years"	"45-54"	170142	42374952	401.5
	"2017"	"2017"	"55-64 years"	"55-64"	372006	41995658	885.8
	"2017"	"2017"	"65-74 years"	"65-74"	531610	29683446	1790.9
	"2017"	"2017"	"75-84 years"	"75-84"	657759	14706551	4472.6
	"2017"	"2017"	"85+ years"	"85+"	878035	6468682	13573.6
	"2017"	"2017"	"Not Stated"	"NS"	129	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			2813503	325719178	863.8
"Total"					47728569	5761465567	828.4
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"Group By: Year; Ten-Year Age Groups"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 4, 2019 8:26:32 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Mar 4, 2019 8:26:32 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"3. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
